dose_grams,setting,grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,ph,brew temperature,score,temp,flavor,acidity,body,tea_floral,fruit,citrus,green_veg,paper_wood,burnt,cereal,nutty,dark_chocolate,caramel,bitter,astringent,roasted,sour,thick_viscous,sweet,rubber
145.0,6LG,3,2872.8,1.04,20.60491,5.08,79.7,8,4,0.3,0.4,0.4,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
121.1,14SM,3,2916.7,0.96,23.12165,5.07,82.7,4,3,0.0,0.0,0.1,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
215.3,5SM,5,2819.9,1.27,16.633873,5.05,82.1,4,3,0.1,0.4,0.1,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False
176.1,12LG,3,2826.4,1.27,20.383465,5.08,79.6,8,3,0.3,0.3,0.3,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False
149.0,4LG,3,2861.9,1.26,24.201302,5.1,82.2,6,3,0.1,0.4,0.1,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False
252.7,5LG,5,2782.1,1.59,17.5051,4.98,81.4,5,4,0.4,0.3,0.4,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True
207.6,5LG,3,2800.4,1.5,20.234104,5.04,82.6,2,3,0.5,0.4,0.4,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
176.1,4LG,3,2829.4,1.47,23.618502,5.03,81.1,7,4,0.1,0.3,0.1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
176.1,2SM,5,2830.6,0.99,15.913083,5.04,85.8,8,3,0.3,0.1,0.3,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False
140.3,3LG,3,2860.3,1.02,20.79477,5.07,86.0,8,4,0.3,0.3,0.4,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
120.0,4LG,3,2864.8,1.04,24.828266,5.07,83.3,5,4,0.3,0.5,0.4,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
215.3,5SM,5,2792.9,1.33,17.252935,5.06,81.8,4,4,0.3,0.5,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
176.1,1SM,3,2780.3,1.33,20.998291,5.03,84.6,7,5,0.3,0.3,0.1,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
150.0,14SM,3,2820.8,1.22,22.942507,5.05,84.7,8,5,0.3,0.3,0.3,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
265.0,6LG,5,2727.0,1.57,16.156189,5.03,84.2,5,3,0.4,0.4,0.3,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
207.6,4SM,4,2762.3,1.49,19.825756,5.05,81.9,3,3,0.1,0.3,0.4,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
176.1,4LG,3,2769.4,1.43,22.488598,5.04,77.6,4,3,0.0,0.3,0.1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
176.1,1SM,5,2810.9,1.06,16.91967,5.01,81.1,9,3,0.3,0.3,0.3,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False
145.0,6LG,3,2906.3,1.0,20.043447,5.08,84.1,9,3,0.3,0.3,0.3,False,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False
119.0,4LG,3,2919.6,0.97,23.79842,5.04,80.2,4,3,0.3,0.3,0.1,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
215.3,12LG,5,2791.8,1.31,16.9868,4.97,79.2,8,3,0.3,0.3,0.3,True,True,True,True,True,False,True,False,False,True,False,False,True,False,False,True,False
176.1,12LG,3,2860.5,1.28,20.791822,5.03,80.3,7,3,0.1,0.3,0.1,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False
150.0,13SM,4,2844.5,1.295,24.557516,5.0,78.5,9,3,0.3,0.3,0.3,False,False,False,False,True,False,True,True,True,True,False,True,True,False,True,False,True
252.7,5LG,5,2800.0,1.51,16.731302,5.04,80.4,5,3,0.3,0.3,0.1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
207.6,5LG,3,2793.0,1.46,19.642485,5.05,80.2,7,3,0.3,0.4,0.1,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
176.1,4LG,3,2790.4,1.38,21.866848,5.0,78.0,7,3,0.4,0.1,0.3,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
176.1,6LG,5,2893.9,1.01,16.597609,5.1,82.2,4,3,0.1,0.1,0.0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
145.0,6LG,3,2867.1,1.07,21.15722,5.12,84.2,7,3,0.1,0.1,0.3,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
